Learning Rate	Train Loss	Train Acc.	Train IOU.	Validate Loss	Validate Acc	Validate IOU	
0.000100	0.263689	0.879318	0.807744	0.271031	0.860068	0.793422	
0.000100	0.266897	0.877919	0.806997	0.294633	0.774293	0.713709	
0.000100	0.268635	0.882532	0.811204	0.281666	0.838910	0.784311	
0.000100	0.262902	0.885087	0.811810	0.265629	0.854770	0.792238	
0.000100	0.260579	0.879714	0.808236	0.255085	0.841405	0.783975	
0.000100	0.263267	0.882926	0.806619	0.264093	0.876025	0.801886	
0.000100	0.259952	0.883312	0.809018	0.274200	0.826340	0.765466	
0.000100	0.263917	0.883574	0.812200	0.272009	0.838513	0.776286	
0.000100	0.262878	0.880091	0.809356	0.278416	0.844867	0.785462	
0.000100	0.265100	0.882670	0.809345	0.283858	0.841860	0.783042	
0.000100	0.257593	0.881542	0.807756	0.272716	0.834381	0.767131	
0.000100	0.263138	0.880772	0.806707	0.267574	0.847063	0.784546	
0.000100	0.266742	0.885390	0.810726	0.265781	0.846335	0.782652	
0.000100	0.263308	0.882565	0.811005	0.274994	0.840756	0.782350	
0.000100	0.259775	0.885543	0.816690	0.262705	0.834287	0.776947	
0.000100	0.262365	0.884254	0.811182	0.282945	0.816023	0.751472	
0.000100	0.264270	0.881108	0.805265	0.274703	0.841423	0.784465	
0.000100	0.257407	0.882055	0.810935	0.274296	0.791862	0.731474	
0.000100	0.263882	0.881020	0.807608	0.281597	0.806859	0.746757	
0.000100	0.268310	0.881940	0.808699	0.276741	0.845282	0.789898	
0.000100	0.261883	0.882150	0.809274	0.287235	0.837771	0.779937	
0.000100	0.264302	0.878058	0.804150	0.276277	0.830258	0.772617	
0.000100	0.258667	0.883445	0.810138	0.272193	0.843363	0.786337	
0.000100	0.258928	0.885136	0.810164	0.261530	0.846959	0.787852	
0.000100	0.263229	0.884521	0.810964	0.263134	0.821236	0.760348	
0.000100	0.263594	0.883186	0.807643	0.269779	0.806375	0.750110	
0.000100	0.256657	0.883459	0.811870	0.269747	0.846149	0.782376	
0.000100	0.262167	0.884477	0.810752	0.299048	0.779200	0.719582	
0.000100	0.260250	0.884815	0.811916	0.280206	0.819709	0.763002	
0.000100	0.266622	0.884110	0.808876	0.278881	0.833905	0.763398	
0.000100	0.259287	0.883165	0.809762	0.257613	0.875121	0.806436	
0.000100	0.260786	0.879321	0.805726	0.278219	0.860217	0.786406	
0.000100	0.258511	0.885277	0.815213	0.291340	0.874327	0.797539	
0.000100	0.259365	0.883542	0.813260	0.282042	0.827694	0.774292	
0.000100	0.264598	0.883278	0.811199	0.253405	0.850251	0.789020	
0.000100	0.269259	0.881205	0.807831	0.265042	0.840824	0.782306	
0.000100	0.262380	0.880241	0.807976	0.276333	0.847786	0.793019	
0.000100	0.256465	0.884756	0.813469	0.255203	0.857337	0.791007	
0.000100	0.258725	0.882525	0.809052	0.267155	0.856801	0.795260	
0.000100	0.262561	0.883292	0.807939	0.274627	0.823911	0.769437	
0.000100	0.262252	0.883420	0.809415	0.265295	0.823937	0.765427	
0.000100	0.260993	0.884454	0.811693	0.273559	0.831495	0.776322	
0.000100	0.257417	0.883098	0.808008	0.276943	0.864191	0.802030	
0.000100	0.258127	0.886292	0.812117	0.255191	0.866157	0.800890	
0.000100	0.259874	0.886167	0.812399	0.285969	0.862665	0.793802	
0.000100	0.255725	0.884354	0.809568	0.267810	0.838863	0.779387	
0.000100	0.258332	0.881837	0.810517	0.269592	0.822222	0.764761	
0.000100	0.259763	0.882016	0.807764	0.288143	0.798721	0.741737	
0.000100	0.261168	0.886846	0.814070	0.277410	0.798031	0.741910	
0.000100	0.263149	0.883973	0.811486	0.276474	0.833843	0.764787	
0.000100	0.263702	0.885600	0.813504	0.264577	0.825293	0.761895	
0.000100	0.256853	0.883400	0.811382	0.275230	0.865851	0.799520	
0.000100	0.253547	0.881871	0.811041	0.272828	0.812557	0.756596	
0.000100	0.262299	0.883215	0.808236	0.321536	0.775538	0.719496	
0.000100	0.257145	0.881062	0.809976	0.282716	0.874893	0.807690	
0.000100	0.257004	0.883695	0.809974	0.280221	0.769244	0.709465	
0.000100	0.257225	0.884215	0.812414	0.262303	0.824045	0.765607	
0.000100	0.259347	0.888793	0.819950	0.265481	0.815022	0.761130	
0.000100	0.261790	0.884937	0.812399	0.272148	0.835824	0.779765	
0.000100	0.262805	0.883096	0.807723	0.264642	0.872215	0.809620	
0.000100	0.258048	0.887438	0.817299	0.273465	0.852514	0.788939	
0.000100	0.259154	0.886972	0.815450	0.304314	0.807296	0.750065	
0.000100	0.255697	0.884231	0.813334	0.288574	0.789966	0.730286	
0.000100	0.257945	0.885490	0.812633	0.244392	0.830368	0.773781	
0.000100	0.254073	0.884901	0.812479	0.282680	0.814553	0.755101	
0.000100	0.258684	0.883924	0.812044	0.269802	0.856594	0.797075	
0.000100	0.254787	0.886164	0.814046	0.302893	0.778776	0.719056	
0.000100	0.257028	0.884396	0.811176	0.266505	0.860002	0.794965	
0.000100	0.254803	0.884831	0.813532	0.264876	0.828459	0.776714	
0.000100	0.259969	0.884298	0.809265	0.274313	0.804051	0.745272	
0.000100	0.255624	0.884226	0.810899	0.266474	0.850555	0.792480	
0.000100	0.256396	0.887920	0.818639	0.291255	0.829776	0.764308	
0.000100	0.254252	0.886415	0.813709	0.264535	0.847791	0.780270	
0.000100	0.255734	0.885369	0.813790	0.278153	0.794812	0.738521	
0.000100	0.254985	0.888302	0.818576	0.270586	0.815485	0.758485	
0.000100	0.251395	0.884787	0.812729	0.269524	0.871503	0.793713	
0.000100	0.253710	0.889114	0.818699	0.284802	0.800786	0.742366	
0.000100	0.251206	0.886825	0.815628	0.286510	0.781506	0.722440	
0.000100	0.257715	0.883316	0.808755	0.245290	0.859858	0.794550	
0.000100	0.256874	0.886706	0.814691	0.271377	0.818362	0.761244	
0.000100	0.257175	0.884413	0.814203	0.271802	0.847882	0.786121	
0.000100	0.262459	0.886019	0.813184	0.274626	0.832922	0.778404	
0.000100	0.250865	0.888798	0.818681	0.261773	0.840626	0.782042	
0.000100	0.254084	0.888949	0.817346	0.313053	0.819369	0.745275	
0.000100	0.254519	0.886388	0.815602	0.267472	0.836597	0.784727	
0.000100	0.261077	0.885355	0.812789	0.285278	0.860079	0.795925	
